Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
53 - Bretagne	29 - Finistère	4 - Quimper	212902324 - Quimper	252902622	SM d'études pour l'élaboration du SCOT de l'Odet (SYMESCOTO)	SMF	0	0	2002-05-16	2002-05-16	AUTR	Fixé par les statuts	2	134789	1	CBUDG	Mme	Isabelle	ASSIH	
53 - Bretagne	29 - Finistère	4 - Quimper	212902209 - Pont-l'Abbé	252902655	Syndicat intercommunautaire Ouest Cornouaille aménagement (SIOCA)	SMF	0	0	2002-11-19	2013-01-01	POPUL		4	92458	1	CBUDG	M.	Yannick	LE MOIGNE	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900260 - Châteaulin	200014793	Établissement public d'aménagement et de gestion du bassin versant de l'Aulne (EPAGA)	SMO	0	1	2008-03-14	2008-03-14	AUTR	30 délégués répartis sur 3 collèges	15	197807	1	AUCUN	M.	Gaël	CALVAR	
53 - Bretagne	29 - Finistère	1 - Brest	212900195 - Brest	200062792	SM "Éco-Pôle industriel et logistique de Lanvian - Pays de Brest"	SMO	0	0	2016-06-09	2016-06-09	AUTR		4	309784	1	CBUDG	M.	Erwan	GUYOT	
53 - Bretagne	29 - Finistère	4 - Quimper	212902209 - Pont-l'Abbé	200076669	SM des ports de pêche-plaisance de Cornouaille	SMO	0	1	2017-10-04	2017-10-04	AUTR	Répartition par collège	6	127024	1	CBUDG	M.	Maël	DE CALAN	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900534 - Le Faou	252901053	SM du Parc naturel régional d'Armorique	SMO	0	1	1969-06-04	2010-04-19	AUTR	Fixé par les statuts	56	395114	2	CBUDG	Mme	Amélie	CARO	
53 - Bretagne	29 - Finistère	1 - Brest	212900435 - Daoulas	252901087	Syndicat de bassin de l'Élorn	SMO	1	1	1970-10-19	2011-08-02	AUTR	Fixé par les statuts	9	302750	2	CBUDG	M.	Laurent	PERON	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900260 - Châteaulin	252901434	SM de l'Aulne	SMO	0	0	1968-06-24	1968-06-24	AUTR	Fixé par les statuts	7	172278	1	CBUDG	M.	Jacques	GOUEROU	
53 - Bretagne	29 - Finistère	1 - Brest	212900195 - Brest	252901947	Conservatoire botanique armoricain de Brest	SMO	0	1	1986-12-18	2010-01-08	AUTR	Fixé par les statuts	4	216077	1	CBUDG	Mme	Frédérique	BONNARD-LE FLOC'H	
53 - Bretagne	29 - Finistère	4 - Quimper	212901680 - Plogoff	252902192	SM du grand site Pointe du Raz en Cap Sizun	SMO	0	1	1991-07-12	1991-07-12	AUTR	Fixé par les statuts	3	15568	3	CBUDG	M.	Maël	DE CALAN	
53 - Bretagne	29 - Finistère	4 - Quimper	212902324 - Quimper	252902440	SMO pour aménagement et gestion des eaux du bassin versant de l'Odet (SIVALODET)	SMO	0	1	1996-06-26	2009-12-29	POPUL		28	198501	1	CBUDG	M.	Jean-Paul	COZIEN	
53 - Bretagne	29 - Finistère	4 - Quimper	212902324 - Quimper	252902598	SM d'études pour la gestion durable des déchets du Finistère	SMO	0	0	2001-02-19	2001-02-19	AUTR	Nombre fixé par les statuts	26	967440	1	CBUDG	M.	Guy	COLIN	
53 - Bretagne	29 - Finistère	1 - Brest	212900195 - Brest	200033736	Pôle Métropolitain du Pays de Brest	POLEM	0	0	2004-07-02	2004-07-02	AUTR	fixé par les statuts	7	435495	6	CBUDG	M.	François	CUILLANDRE	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901516 - Morlaix	200072973	PETR du Pays de Morlaix	PETR	0	0	2016-12-26	2017-01-01	POPUL		3	133698	3	CBUDG	M.	Henri	BILLON	
